ER60001	ER60002	ER60017	ER60018	ER60167	ER62366	ER62506	ER64612	ER64810	ER65349	ER65459
1	4137	39	1	0	1	1	5	1	134450	16
1	7585	51	1	0	3	0	5	1	145800	17
1	2863	34	1	0	1	0	5	1	30220	14
1	6959	43	2	0	3	0	5	2	9300	12
1	2155	66	1	5	3	0	5	2	43810	16
1	5093	39	1	0	3	0	5	2	71400	14
1	6748	34	1	0	3	0	5	2	150000	13
1	626	28	1	0	3	0	1	2	78414	14
1	529	34	1	0	2	0	5	1	82400	16
1	1998	62	1	5	4	0	5	1	103500	16
1	6385	31	1	0	2	1	5	1	131600	17
1	4923	72	1	5	4	0	5	1	116160	9
1	5112	48	1	0	3	0	5	1	110000	12
1	5705	29	1	0	3	0	1	1	20200	12
1	6210	22	2	0	2	2	5	1	72000	13
1	6123	49	1	0	4	0	1	1	35450	14
1	6998	68	1	5	5	0	5	1	79240	14
1	1550	74	2	0	2	0	5	1	31735	15
1	7507	41	1	0	2	4	5	1	140000	14
1	8938	37	1	0	1	0	1	7	22200	16
1	784	85	2	5	3	0	5	1	42724	12
1	8522	49	1	0	3	0	1	1	86220	13
1	5763	26	2	0	3	3	1	1	40000	17
1	4728	24	2	0	1	0	1	1	135100	16
1	7437	42	1	0	2	0	5	1	66960	12
1	5389	33	1	0	3	4	5	1	60000	14
1	3242	67	1	5	2	0	5	1	25244	12
1	3354	42	1	0	2	0	5	1	67600	12
1	5819	36	1	0	2	0	5	1	120102	16
1	2445	71	2	5	2	1	5	5	29938	14
1	4270	49	1	0	2	0	5	1	106740	12
1	1297	38	1	0	1	0	5	1	63202	16
1	367	67	1	0	2	0	5	1	80885	14
1	3550	34	1	0	1	0	5	1	88106	17
1	2895	63	1	5	4	0	1	1	66450	13
1	8167	60	1	5	5	1	5	1	20548	12
1	8148	58	2	5	2	0	5	1	36000	12
1	7969	44	1	0	3	0	5	1	196000	17
1	4384	88	2	5	2	0	5	1	21240	12
1	2160	65	1	0	4	0	5	1	135118	17
1	2007	53	1	0	3	0	5	1	57376	12
1	9004	37	1	0	2	0	5	1	104362	16
1	4379	66	1	0	2	0	5	1	89850	17
1	4641	27	1	0	2	0	1	1	27200	16
1	4972	24	1	0	1	0	1	1	80600	14
1	4050	82	1	5	2	0	5	1	178050	16
1	5348	55	1	0	1	0	5	1	191250	16
1	2681	60	1	5	3	0	5	1	76318	14
1	6781	67	1	5	4	0	5	1	55250	17
1	7322	44	1	0	2	0	5	1	21200	13
1	5141	41	1	0	2	0	5	1	182000	17
1	5114	36	1	0	2	0	5	1	300000	17
1	4241	34	2	0	2	0	1	1	30005	16
1	1084	64	1	5	2	0	5	1	37479	16
1	4506	24	2	0	5	0	1	1	18000	13
1	4205	35	1	5	3	1	5	7	96870	15
1	3831	34	1	0	2	0	5	1	54000	14
1	5822	36	2	0	1	0	5	7	63400	14
1	3765	35	2	0	4	0	5	1	13200	12
1	6575	35	2	0	3	0	5	1	13000	13
1	6092	31	1	0	3	0	1	1	49678	14
1	4856	59	1	0	2	0	5	7	119850	12
1	1704	57	1	0	3	0	5	7	49000	12
1	8573	68	1	5	5	0	5	7	22140	10
1	5802	44	1	0	2	0	5	1	98906	13
