Zip	State	County	City	ZrentValue
7111	NJ	Essex	Irvington	1436
27519	NC	Wake	Cary	1970
70816	LA	East Baton Rouge	Baton Rouge	1419
89147	NV	Clark	Las Vegas	1248
92399	CA	San Bernardino	Yucaipa	1828
98225	WA	Whatcom	Bellingham	1563
33312	FL	Broward	Fort Lauderdale	1790
11354	NY	Queens	New York	2211
77373	TX	Harris	Spring	1345
65202	MO	Boone	Columbia	1019
78223	TX	Bexar	San Antonio	1101
63116	MO	Saint Louis City	Saint Louis	870
53209	WI	Milwaukee	Milwaukee	899
22407	VA	Spotsylvania	Fredericksburg	1550
94086	CA	Santa Clara	Sunnyvale	3798
19380	PA	Chester	West Chester	2194
34748	FL	Lake	Leesburg	1253
48038	MI	Macomb	Clinton Township	1365
73013	OK	Oklahoma	Edmond	1429
8021	NJ	Camden	Lindenwold	1434
63301	MO	Saint Charles	Saint Charles	1368
19131	PA	Philadelphia	Philadelphia	1178
96797	HI	Honolulu	Waipahu	2420
11374	NY	Queens	New York	2150
95350	CA	Stanislaus	Modesto	1334
60638	IL	Cook	Chicago	1660
45040	OH	Warren	Mason	1866
92704	CA	Orange	Santa Ana	2568
24060	VA	Montgomery	Blacksburg	1551
97504	OR	Jackson	Medford	1563
97206	OR	Multnomah	Portland	1779
85255	AZ	Maricopa	Scottsdale	3218
34698	FL	Pinellas	Dunedin	1403
83709	ID	Ada	Boise	1266
33437	FL	Palm Beach	Boynton Beach	2086
92024	CA	San Diego	Encinitas	3503
78520	TX	Cameron	Brownsville	892
21206	MD	Baltimore City	Baltimore	1365
26003	WV	Ohio	Wheeling	896
44646	OH	Stark	Massillon	1014
92553	CA	Riverside	Moreno Valley	1591
97405	OR	Lane	Eugene	1532
75093	TX	Collin	Plano	2862
28025	NC	Cabarrus	Concord	1155
61265	IL	Rock Island	Moline	857
95008	CA	Santa Clara	Campbell	3538
92056	CA	San Diego	Oceanside	2408
19382	PA	Chester	West Chester	2246
75115	TX	Dallas	Desoto	1535
60639	IL	Cook	Chicago	1646
10473	NY	Bronx	New York	1821
84015	UT	Davis	Clearfield	1341
78230	TX	Bexar	San Antonio	1600
19140	PA	Philadelphia	Philadelphia	1019
99336	WA	Benton	Kennewick	1258
22003	VA	Fairfax	Annandale	2480
34997	FL	Martin	Stuart	1738
4401	ME	Penobscot	Bangor	1367
7306	NJ	Hudson	Jersey City	1973
76179	TX	Tarrant	Fort Worth	1471
92071	CA	San Diego	Santee	2331
89119	NV	Clark	Las Vegas	1089
10033	NY	New York	New York	2614
27603	NC	Wake	Raleigh	1393
95624	CA	Sacramento	Elk Grove	1867
19145	PA	Philadelphia	Philadelphia	1261
11210	NY	Kings	New York	2283
23456	VA	Virginia Beach City	Virginia Beach	1911
96817	HI	Honolulu	Honolulu	2352
22030	VA	Fairfax	Fairfax	2508
70119	LA	Orleans	New Orleans	1468
92130	CA	San Diego	San Diego	3972
