Zip	NoReturns	SingleReturns	UnempComp	StudentLoanDeductions	TaxableIncome
56355	50	20	0	0	1864
56357	80	20	0	0	2919
56358	260	60	340	42	9906
56359	210	60	194	0	7999
56360	310	70	0	35	11940
56361	170	60	214	0	6517
56362	490	120	234	60	18677
56364	420	100	532	34	15604
56367	580	160	501	92	22781
56368	340	80	219	37	13095
56373	260	60	201	34	9698
56374	680	200	379	117	27308
56375	60	0	161	0	2463
56377	1290	420	572	327	51696
56378	590	140	218	78	23319
56379	1300	400	919	251	51835
56381	190	40	153	32	7393
56382	110	40	149	23	4167
56384	20	0	0	0	864
56385	70	30	0	0	2951
56386	50	20	0	0	1963
56387	420	160	133	61	16773
56401	1880	560	1336	323	73349
56425	590	180	203	133	22962
56431	640	170	329	70	25244
56433	110	30	155	18	3863
56435	180	40	206	17	7099
56437	60	0	0	37	2136
56438	190	50	175	48	7562
56440	70	0	0	22	2609
56441	260	90	184	32	9817
56442	170	60	0	0	6230
56443	120	40	0	21	4312
56444	220	60	192	21	8305
56446	90	30	208	22	3378
56447	70	30	0	0	2534
56448	40	0	0	0	1287
56449	130	30	244	0	5223
56450	70	40	0	0	2743
56452	150	40	222	0	5664
56453	60	0	224	0	2272
56455	110	30	171	24	3988
56458	30	0	0	0	1146
56461	210	40	350	24	8035
56464	300	80	197	35	11059
56465	150	40	216	0	5793
56466	220	40	160	22	8295
56467	160	30	169	0	5898
56468	340	110	127	53	13193
56469	90	40	239	0	3475
56470	690	170	382	78	26405
56472	550	140	410	88	20641
56473	260	60	227	33	9891
56474	280	60	311	42	10599
56475	150	40	199	30	5722
